2^392-1,23440,3,
2^393-1,40839,7,
2^394-1,23729,3,
2^395-1,53000,31,
2^396-1,17521,5,
2^397-1,765666,6353,
2^398-1,23862,3,
2^399-1,14225,7,
2^400-1,7360,5,
2^402-1,14354,21,
2^403-1,847279,8191,
2^404-1,17960,5,
2^405-1,20651,1519,
2^406-1,14014,3,
2^407-1,36133,23,
2^408-1,30604,147,
2^410-1,22010,3,
2^411-1,43735,7,
2^412-1,14203,3,
2^413-1,26959,127,
2^414-1,14056,73,
2^415-1,42723,961,
2^416-1,31280,3,
2^417-1,46221,7,
2^418-1,25235,3,
2^419-1,339311,839,
2^420-1,17881,29,
2^422-1,15018,3,
2^423-1,31852,7,
2^424-1,7650,5,
2^425-1,34996,31,
2^426-1,14827,7,
2^427-1,103124,127,
2^428-1,18172,25,
2^429-1,44224,7,
2^430-1,32061,3,
2^431-1,57766,863,
2^432-1,18083,5,
2^434-1,22784,129,
2^435-1,25649,7,
2^436-1,15306,3,
2^437-1,66172,47,
2^438-1,25305,3,
2^439-1,102667739,104110607,
2^440-1,10022,17,
2^441-1,23684,7,
2^442-1,16146,3,
2^443-1,482066,887,
2^444-1,26191,7,
2^445-1,61221,31,
2^446-1,25377,3,
2^447-1,15654,7,
2^448-1,18139,85,
2^449-1,24907674,1256303,
2^450-1,26631,57,
2^451-1,60380,89,
2^452-1,33510,3,
2^453-1,15880,7,
2^454-1,15589,3,
2^455-1,15427,31,
2^456-1,17076,5,
2^457-1,218037157,150327409,
2^458-1,17247,3,
2^459-1,16006,7,
2^460-1,15779,3,
2^461-1,752449,2767,
2^462-1,26742,21,
2^463-1,1130897,11113,
2^464-1,19081,5,
2^465-1,16292,49,
2^466-1,24001,3,
2^467-1,83563644,121606801,
2^468-1,27782,4503,
2^469-1,16713,127,
2^470-1,16191,3,
2^471-1,23932,7,
2^472-1,17621,5,
2^473-1,55400,23,
2^474-1,26048,7,
2^475-1,48168,31,
2^476-1,19125,5,
2^477-1,23699,7,
2^478-1,16509,3,
2^479-1,137222040,33385343,
2^480-1,10118,41,
2^481-1,173990,223,
2^482-1,34977,3,
2^483-1,16639,7,
2^484-1,17909,25,
2^485-1,64646,31,
2^486-1,27010,133,
2^487-1,366344,4871,
2^488-1,27532,3,
2^489-1,17061,7,
2^490-1,35985,3,
2^491-1,851684,983,
2^492-1,19715,5,
2^493-1,244069,233,
2^494-1,27558,3,
2^495-1,25578,7,
2^496-1,27582,3,
2^497-1,120129,127,
2^498-1,27303,21,
2^499-1,1514398,20959,
2^500-1,27467,3,
2^501-1,17420,7,
2^502-1,17487,3,
2^504-1,17722,7,
2^505-1,38948,31,
2^506-1,18223,3,
2^507-1,51769,7,
2^508-1,35633,3,
2^509-1,33101347,12619129,
2^510-1,36686,21,
2^511-1,43000,127,
2^512-1,35768,3,
2^513-1,37082,7,
2^514-1,28452,3,
2^515-1,67703,31,
2^516-1,28230,21,
2^517-1,51992,4513,
2^518-1,28268,127,
2^519-1,26581,49,
2^520-1,19769,41,
2^522-1,18973,21,
2^524-1,18945,3,
2^525-1,29834,217,
2^526-1,19298,3,
2^527-1,4272340,131071,
2^528-1,29149,21,
